Accident_ID,Date_Time,Location,Severity,Weather_Condition,Road_Condition,Vehicle_Type,Driver_Age,Casualties_Count,Cause_of_Accident
90,12/21/2023 3:36,Hyderabad,Moderate,Snowy,Icy,Auto Rickshaw,45,2,Drunk Driving
91,7/22/2024 9:40,Chennai,Minor,Foggy,Icy,Bicycle,38,2,Red Light Violation
92,3/15/2024 20:08,Pune,Minor,Rainy,Wet,Bus,27,2,Speeding
93,9/25/2023 18:57,Mumbai,Moderate,Foggy,Icy,Auto Rickshaw,24,1,Weather
94,6/8/2023 3:00,Ahmedabad,Severe,Foggy,Wet,Bus,48,3,Red Light Violation
95,8/1/2024 2:22,Delhi,Severe,Clear,Wet,Bicycle,58,3,Overtaking
96,5/20/2024 4:23,Kolkata,Severe,Snowy,Wet,Auto Rickshaw,45,5,Brake Failure
97,3/5/2023 0:22,Kolkata,Severe,Windy,Wet,Bus,30,0,Red Light Violation
98,5/29/2023 16:49,Pune,Moderate,Foggy,Wet,Bicycle,62,5,Bad Road Condition
99,6/8/2024 9:23,Pune,Moderate,Rainy,Dry,Bicycle,24,3,Bad Road Condition
100,9/9/2024 12:41,Mumbai,Moderate,Snowy,Icy,Auto Rickshaw,59,3,Speeding
101,7/23/2024 23:42,Delhi,Minor,Clear,Dry,Truck,34,1,Red Light Violation
102,2/6/2023 6:23,Chennai,Moderate,Snowy,Wet,Auto Rickshaw,42,5,Overtaking
103,8/27/2024 5:41,Bangalore,Minor,Snowy,Icy,Auto Rickshaw,63,2,Bad Road Condition
104,10/3/2023 1:19,Ahmedabad,Moderate,Windy,Dry,Auto Rickshaw,54,0,Weather
105,9/18/2024 20:00,Mumbai,Severe,Clear,Dry,Bus,23,1,Overtaking
106,4/15/2024 22:18,Kolkata,Minor,Clear,Dry,Truck,41,3,Speeding
107,10/22/2024 10:55,Delhi,Severe,Snowy,Dry,Bus,43,1,Drunk Driving
108,1/7/2024 12:04,Ahmedabad,Minor,Rainy,Under Construction,Bike,25,4,Overtaking
109,4/23/2023 16:25,Kolkata,Minor,Rainy,Under Construction,Auto Rickshaw,19,4,Drunk Driving
110,8/21/2024 0:22,Hyderabad,Moderate,Clear,Under Construction,Truck,19,3,Overtaking
111,7/11/2024 19:58,Bangalore,Moderate,Snowy,Potholes,Bicycle,30,1,Speeding
112,9/16/2023 17:24,Mumbai,Moderate,Snowy,Potholes,Bicycle,51,5,Drunk Driving
113,11/16/2023 14:08,Bangalore,Severe,Foggy,Dry,Truck,31,2,Speeding
114,7/16/2024 4:10,Ahmedabad,Severe,Clear,Wet,Bus,31,4,Red Light Violation
115,5/9/2023 5:04,Mumbai,Severe,Foggy,Wet,Car,53,5,Weather
116,9/28/2024 17:50,Chennai,Moderate,Foggy,Potholes,Truck,48,4,Weather
117,10/18/2023 11:55,Kolkata,Moderate,Clear,Dry,Car,42,5,Weather
118,6/28/2024 0:33,Kolkata,Minor,Clear,Under Construction,Bicycle,22,5,Weather
119,11/5/2024 20:52,Chennai,Severe,Rainy,Under Construction,Bike,30,3,Overtaking
120,4/26/2024 13:43,Chennai,Severe,Snowy,Dry,Bicycle,56,1,Drunk Driving
121,5/11/2024 21:11,Chennai,Moderate,Snowy,Wet,Bike,27,0,Red Light Violation
122,3/6/2023 5:15,Chennai,Moderate,Clear,Icy,Truck,38,3,Speeding
123,2/19/2023 7:59,Mumbai,Minor,Snowy,Icy,Bicycle,37,3,Red Light Violation
124,1/27/2024 18:56,Kolkata,Minor,Foggy,Dry,Car,31,2,Brake Failure
125,5/22/2023 2:06,Chennai,Minor,Rainy,Icy,Bike,29,1,Speeding
126,6/9/2023 7:14,Ahmedabad,Minor,Foggy,Wet,Bus,28,2,Overtaking
127,7/20/2024 22:12,Chennai,Moderate,Rainy,Potholes,Car,51,2,Drunk Driving
128,12/2/2024 21:34,Hyderabad,Severe,Snowy,Under Construction,Bike,43,4,Drunk Driving
129,3/27/2023 23:43,Hyderabad,Moderate,Windy,Wet,Truck,60,0,Bad Road Condition
130,8/28/2023 13:50,Hyderabad,Minor,Clear,Wet,Bus,29,5,Bad Road Condition
131,1/8/2023 7:22,Pune,Minor,Rainy,Dry,Bicycle,45,5,Speeding
132,12/10/2023 13:57,Pune,Moderate,Foggy,Icy,Bicycle,28,3,Speeding
133,10/15/2023 14:23,Hyderabad,Moderate,Rainy,Potholes,Bus,28,5,Overtaking
134,5/15/2024 5:33,Kolkata,Moderate,Foggy,Under Construction,Bus,65,2,Overtaking
135,10/9/2024 7:26,Delhi,Minor,Windy,Dry,Bus,42,0,Bad Road Condition
136,8/24/2023 23:44,Ahmedabad,Moderate,Snowy,Icy,Auto Rickshaw,27,3,Drunk Driving
137,9/1/2024 16:24,Delhi,Minor,Snowy,Under Construction,Car,31,5,Speeding
138,3/3/2023 23:56,Ahmedabad,Severe,Rainy,Dry,Bus,24,1,Red Light Violation
139,5/28/2023 2:36,Mumbai,Minor,Clear,Icy,Truck,48,2,Brake Failure
140,6/29/2024 19:10,Pune,Moderate,Clear,Under Construction,Truck,54,4,Weather
141,2/13/2023 21:37,Chennai,Severe,Windy,Wet,Auto Rickshaw,50,1,Speeding
142,8/8/2024 1:20,Hyderabad,Moderate,Foggy,Icy,Bike,61,3,Brake Failure
143,11/19/2024 7:11,Hyderabad,Moderate,Snowy,Potholes,Bicycle,43,2,Speeding
144,5/19/2024 5:08,Mumbai,Minor,Clear,Wet,Bus,55,4,Speeding
145,3/2/2023 19:14,Ahmedabad,Minor,Foggy,Dry,Car,33,1,Speeding
146,2/26/2023 6:24,Delhi,Minor,Snowy,Potholes,Truck,42,5,Red Light Violation
147,8/30/2023 8:07,Hyderabad,Severe,Windy,Icy,Bike,64,4,Bad Road Condition
148,5/15/2023 17:38,Delhi,Minor,Clear,Under Construction,Bike,46,1,Drunk Driving
149,4/1/2023 8:04,Mumbai,Moderate,Windy,Under Construction,Car,54,4,Bad Road Condition
150,11/7/2023 12:37,Hyderabad,Minor,Foggy,Under Construction,Car,60,2,Bad Road Condition
151,2/8/2023 16:22,Mumbai,Moderate,Snowy,Potholes,Bus,37,4,Red Light Violation
152,6/1/2023 0:38,Mumbai,Moderate,Rainy,Icy,Bike,65,2,Drunk Driving
153,3/5/2023 1:46,Ahmedabad,Severe,Windy,Icy,Bike,33,5,Brake Failure
154,12/26/2024 13:08,Pune,Minor,Snowy,Potholes,Truck,27,2,Bad Road Condition
155,2/28/2023 6:05,Delhi,Severe,Clear,Wet,Bus,48,5,Weather
156,6/21/2024 0:42,Kolkata,Minor,Foggy,Wet,Car,26,5,Overtaking
157,1/1/2024 9:11,Pune,Minor,Windy,Icy,Truck,36,0,Speeding
158,1/8/2024 5:27,Pune,Severe,Rainy,Icy,Bicycle,54,5,Drunk Driving
159,11/3/2024 4:56,Ahmedabad,Severe,Snowy,Wet,Truck,19,1,Drunk Driving
160,6/19/2023 14:07,Kolkata,Minor,Rainy,Icy,Bike,28,2,Red Light Violation
161,6/10/2023 13:10,Bangalore,Severe,Snowy,Potholes,Bike,55,1,Speeding
162,12/17/2024 5:07,Delhi,Minor,Foggy,Dry,Bus,30,4,Bad Road Condition
163,8/4/2024 20:58,Ahmedabad,Minor,Windy,Icy,Bike,62,4,Overtaking
164,9/3/2023 18:34,Bangalore,Severe,Foggy,Wet,Car,39,2,Brake Failure
165,2/8/2024 14:07,Chennai,Minor,Snowy,Potholes,Bicycle,43,5,Bad Road Condition
166,9/26/2024 0:37,Mumbai,Moderate,Windy,Under Construction,Bicycle,23,5,Weather
167,6/24/2023 10:53,Hyderabad,Severe,Rainy,Wet,Auto Rickshaw,23,2,Red Light Violation
168,5/11/2023 16:54,Hyderabad,Minor,Snowy,Icy,Bus,65,4,Overtaking
169,5/13/2023 10:15,Mumbai,Moderate,Clear,Potholes,Car,32,4,Bad Road Condition
170,2/26/2023 15:34,Delhi,Moderate,Clear,Icy,Bike,28,4,Weather
171,2/4/2024 8:24,Chennai,Moderate,Clear,Dry,Car,42,4,Speeding
172,4/1/2023 9:38,Kolkata,Minor,Windy,Potholes,Bike,57,3,Red Light Violation
173,2/3/2023 14:57,Kolkata,Moderate,Snowy,Icy,Bicycle,42,3,Brake Failure
174,4/28/2024 3:32,Ahmedabad,Minor,Snowy,Wet,Auto Rickshaw,51,4,Bad Road Condition
175,3/24/2024 13:38,Chennai,Severe,Clear,Icy,Auto Rickshaw,57,4,Overtaking
176,3/8/2024 5:27,Delhi,Severe,Windy,Wet,Truck,57,2,Weather
177,3/1/2024 0:52,Hyderabad,Moderate,Rainy,Dry,Auto Rickshaw,59,4,Drunk Driving
178,6/11/2023 1:20,Ahmedabad,Minor,Foggy,Wet,Bicycle,45,1,Brake Failure
179,6/7/2024 0:37,Mumbai,Severe,Snowy,Wet,Bicycle,20,0,Bad Road Condition
180,8/1/2023 23:33,Delhi,Moderate,Rainy,Under Construction,Bike,47,2,Weather
181,1/4/2023 8:13,Ahmedabad,Moderate,Foggy,Icy,Bike,29,2,Drunk Driving
182,11/14/2023 4:24,Pune,Severe,Foggy,Icy,Bike,61,4,Red Light Violation
183,11/26/2023 14:30,Ahmedabad,Minor,Windy,Icy,Truck,25,1,Brake Failure
184,11/30/2024 9:03,Kolkata,Minor,Rainy,Icy,Bike,34,4,Bad Road Condition
185,12/18/2024 11:44,Ahmedabad,Moderate,Foggy,Icy,Truck,30,0,Red Light Violation
186,10/16/2023 10:29,Delhi,Severe,Clear,Dry,Bicycle,20,3,Weather
187,6/26/2023 23:21,Ahmedabad,Minor,Rainy,Wet,Car,36,0,Brake Failure
188,5/19/2024 4:10,Chennai,Moderate,Rainy,Wet,Car,34,2,Bad Road Condition
189,6/8/2023 18:01,Kolkata,Minor,Windy,Wet,Bicycle,23,3,Bad Road Condition
190,6/9/2023 19:40,Hyderabad,Severe,Clear,Dry,Car,31,0,Red Light Violation
191,10/20/2023 5:17,Ahmedabad,Minor,Clear,Potholes,Truck,44,2,Red Light Violation
192,12/19/2023 0:21,Bangalore,Minor,Clear,Potholes,Auto Rickshaw,37,1,Drunk Driving
193,3/16/2023 21:39,Mumbai,Moderate,Rainy,Icy,Auto Rickshaw,57,5,Weather
194,12/2/2023 7:11,Pune,Moderate,Snowy,Dry,Bus,24,4,Brake Failure
195,6/16/2024 0:00,Pune,Moderate,Snowy,Dry,Auto Rickshaw,21,4,Bad Road Condition
196,3/22/2023 7:53,Chennai,Minor,Foggy,Icy,Auto Rickshaw,18,4,Brake Failure
197,12/21/2024 12:06,Hyderabad,Minor,Rainy,Icy,Truck,29,1,Drunk Driving
198,11/25/2024 22:37,Chennai,Minor,Windy,Wet,Bike,35,2,Bad Road Condition
199,5/29/2023 3:20,Pune,Severe,Rainy,Icy,Bus,19,2,Speeding
200,6/28/2023 17:42,Delhi,Severe,Snowy,Dry,Bike,28,4,Bad Road Condition
201,9/6/2024 15:05,Kolkata,Moderate,Windy,Potholes,Car,32,1,Overtaking
202,7/20/2024 23:42,Delhi,Minor,Rainy,Dry,Car,35,1,Weather
203,2/24/2024 5:42,Chennai,Moderate,Rainy,Potholes,Bus,41,5,Speeding
204,10/9/2023 13:47,Ahmedabad,Minor,Clear,Icy,Bike,35,3,Speeding
205,11/9/2024 2:59,Pune,Minor,Rainy,Wet,Car,55,0,Drunk Driving
206,10/16/2023 21:29,Mumbai,Moderate,Snowy,Icy,Bike,25,1,Overtaking
207,6/13/2023 0:01,Chennai,Minor,Foggy,Under Construction,Auto Rickshaw,52,4,Bad Road Condition
208,11/26/2024 16:24,Hyderabad,Severe,Rainy,Dry,Bicycle,54,5,Bad Road Condition
209,1/19/2024 11:08,Ahmedabad,Severe,Rainy,Dry,Car,32,1,Red Light Violation
210,4/2/2023 22:24,Bangalore,Minor,Rainy,Under Construction,Auto Rickshaw,39,3,Weather
211,1/14/2023 2:58,Bangalore,Severe,Rainy,Wet,Bike,38,2,Bad Road Condition
212,9/3/2023 5:45,Ahmedabad,Minor,Rainy,Under Construction,Bike,25,0,Drunk Driving
213,9/1/2023 9:34,Mumbai,Moderate,Foggy,Potholes,Bicycle,40,5,Brake Failure
214,2/28/2023 1:33,Mumbai,Moderate,Clear,Wet,Auto Rickshaw,43,0,Drunk Driving
215,10/11/2023 8:33,Chennai,Minor,Clear,Icy,Bus,32,5,Weather
216,10/20/2023 11:03,Chennai,Moderate,Snowy,Under Construction,Bus,25,1,Bad Road Condition
217,4/20/2023 21:39,Chennai,Moderate,Rainy,Icy,Bicycle,24,2,Red Light Violation
218,1/24/2023 11:16,Kolkata,Minor,Foggy,Under Construction,Bus,56,0,Speeding
219,7/26/2024 8:10,Bangalore,Moderate,Rainy,Potholes,Car,45,3,Drunk Driving
220,4/28/2023 14:54,Mumbai,Minor,Windy,Wet,Truck,33,3,Bad Road Condition
221,9/16/2023 17:50,Hyderabad,Moderate,Windy,Wet,Auto Rickshaw,24,3,Drunk Driving
222,10/23/2024 1:23,Hyderabad,Minor,Windy,Icy,Bike,59,4,Brake Failure
223,6/11/2024 4:59,Hyderabad,Moderate,Snowy,Under Construction,Auto Rickshaw,60,2,Bad Road Condition
224,12/20/2023 19:11,Bangalore,Moderate,Snowy,Potholes,Truck,32,0,Brake Failure
225,12/16/2024 16:21,Mumbai,Severe,Rainy,Potholes,Auto Rickshaw,20,4,Red Light Violation
226,8/19/2024 6:31,Pune,Severe,Snowy,Dry,Bike,55,3,Speeding
227,6/27/2023 10:46,Chennai,Minor,Clear,Under Construction,Truck,54,1,Drunk Driving
228,7/24/2023 15:23,Kolkata,Moderate,Rainy,Potholes,Car,22,0,Brake Failure
229,12/2/2023 3:17,Ahmedabad,Minor,Windy,Under Construction,Bicycle,23,0,Weather
230,11/7/2024 8:27,Bangalore,Moderate,Foggy,Icy,Auto Rickshaw,40,4,Brake Failure
231,10/22/2024 5:24,Chennai,Minor,Snowy,Under Construction,Car,18,2,Drunk Driving
232,2/8/2024 16:07,Mumbai,Severe,Rainy,Dry,Bike,19,5,Bad Road Condition
233,5/15/2023 21:29,Kolkata,Severe,Snowy,Wet,Auto Rickshaw,36,1,Drunk Driving
234,6/15/2024 11:41,Pune,Moderate,Windy,Icy,Auto Rickshaw,44,2,Weather
235,9/9/2024 6:13,Mumbai,Moderate,Clear,Dry,Truck,64,3,Speeding
236,9/7/2023 0:51,Bangalore,Minor,Foggy,Potholes,Bike,50,2,Weather
237,7/29/2023 1:29,Bangalore,Minor,Clear,Under Construction,Truck,47,3,Red Light Violation
238,11/26/2024 20:18,Ahmedabad,Severe,Clear,Under Construction,Bike,30,2,Red Light Violation
239,2/6/2024 23:12,Pune,Minor,Clear,Dry,Car,25,0,Bad Road Condition
240,4/18/2024 11:50,Chennai,Moderate,Clear,Icy,Bike,63,4,Weather
241,2/9/2024 7:24,Pune,Moderate,Clear,Wet,Car,29,0,Red Light Violation
242,6/16/2024 8:02,Mumbai,Severe,Clear,Wet,Bicycle,34,0,Bad Road Condition
243,9/4/2023 3:10,Pune,Moderate,Foggy,Potholes,Bike,54,4,Drunk Driving
244,9/17/2023 8:40,Kolkata,Moderate,Rainy,Potholes,Truck,64,4,Speeding
245,3/5/2023 19:23,Mumbai,Minor,Clear,Dry,Bike,26,3,Bad Road Condition
246,7/30/2023 17:30,Pune,Severe,Snowy,Potholes,Car,64,3,Red Light Violation
247,3/1/2024 16:27,Bangalore,Minor,Clear,Potholes,Auto Rickshaw,58,4,Brake Failure
248,10/30/2024 0:57,Mumbai,Minor,Foggy,Wet,Bicycle,56,2,Speeding
249,4/24/2023 12:14,Ahmedabad,Moderate,Clear,Icy,Auto Rickshaw,34,5,Speeding
250,6/12/2024 14:09,Hyderabad,Moderate,Foggy,Icy,Bike,65,3,Red Light Violation
251,7/12/2023 1:16,Delhi,Minor,Snowy,Under Construction,Car,26,4,Bad Road Condition
252,11/29/2023 11:11,Ahmedabad,Severe,Clear,Dry,Truck,28,2,Drunk Driving
253,2/1/2024 3:26,Ahmedabad,Minor,Clear,Wet,Auto Rickshaw,46,2,Drunk Driving
254,3/12/2023 3:38,Ahmedabad,Minor,Snowy,Under Construction,Bus,27,2,Red Light Violation
255,11/7/2024 14:01,Delhi,Severe,Clear,Under Construction,Bicycle,25,2,Speeding
256,3/13/2023 1:47,Delhi,Minor,Rainy,Wet,Bicycle,48,3,Brake Failure
257,10/25/2023 5:58,Delhi,Minor,Rainy,Dry,Auto Rickshaw,42,4,Overtaking
258,1/29/2023 17:34,Ahmedabad,Minor,Windy,Under Construction,Bicycle,49,1,Brake Failure
259,5/6/2024 17:29,Pune,Minor,Foggy,Dry,Bike,60,5,Weather
260,8/22/2023 15:41,Hyderabad,Severe,Snowy,Under Construction,Auto Rickshaw,40,5,Bad Road Condition
261,6/17/2024 20:21,Chennai,Moderate,Rainy,Dry,Truck,28,5,Drunk Driving
262,2/28/2024 14:45,Delhi,Moderate,Foggy,Potholes,Auto Rickshaw,28,0,Red Light Violation
263,12/28/2023 16:54,Mumbai,Minor,Snowy,Potholes,Bicycle,21,2,Weather
264,2/13/2024 8:57,Ahmedabad,Minor,Snowy,Under Construction,Bus,55,1,Drunk Driving
265,4/28/2024 6:09,Ahmedabad,Minor,Snowy,Under Construction,Car,63,0,Bad Road Condition
266,8/30/2024 12:18,Pune,Moderate,Rainy,Icy,Truck,34,5,Bad Road Condition
267,8/30/2023 7:02,Hyderabad,Moderate,Rainy,Under Construction,Bus,62,0,Weather
268,1/9/2024 1:00,Kolkata,Severe,Windy,Icy,Bus,52,2,Red Light Violation
269,12/2/2023 4:50,Chennai,Moderate,Snowy,Under Construction,Truck,39,0,Speeding
270,12/4/2023 15:57,Bangalore,Moderate,Clear,Potholes,Truck,25,4,Bad Road Condition
271,10/10/2023 14:26,Delhi,Minor,Rainy,Wet,Bike,46,5,Overtaking
272,2/23/2024 15:35,Pune,Severe,Clear,Potholes,Car,55,0,Red Light Violation
273,11/13/2024 23:53,Hyderabad,Minor,Snowy,Under Construction,Bicycle,49,4,Bad Road Condition
274,9/12/2023 11:19,Chennai,Minor,Snowy,Potholes,Bus,37,0,Speeding
275,1/14/2024 7:17,Chennai,Severe,Rainy,Potholes,Truck,40,5,Brake Failure
276,1/18/2023 9:19,Hyderabad,Minor,Foggy,Under Construction,Truck,45,3,Brake Failure
277,8/17/2024 13:03,Pune,Severe,Rainy,Potholes,Auto Rickshaw,57,4,Overtaking
278,7/26/2023 9:36,Pune,Moderate,Snowy,Under Construction,Bicycle,30,5,Red Light Violation
279,10/2/2024 6:18,Chennai,Minor,Rainy,Under Construction,Auto Rickshaw,32,5,Overtaking
280,5/6/2024 17:44,Bangalore,Severe,Snowy,Icy,Auto Rickshaw,30,2,Red Light Violation
281,4/25/2023 11:47,Delhi,Minor,Snowy,Wet,Auto Rickshaw,28,1,Speeding
282,9/11/2023 15:18,Delhi,Minor,Foggy,Dry,Bus,51,4,Overtaking
283,5/10/2024 9:45,Mumbai,Severe,Windy,Under Construction,Bike,64,1,Drunk Driving
284,9/25/2023 6:53,Bangalore,Minor,Clear,Icy,Truck,56,4,Overtaking
285,12/28/2023 13:25,Mumbai,Minor,Foggy,Potholes,Auto Rickshaw,31,5,Red Light Violation
